id,name,type,searchcode,system,vendor
CMDB_CPS-2534911208,10.10.2.180,CMDB_CPS,CP-CPS-ZZZ-Z00143,,
CMDB_DB-3595918538,10.22.1.166,CMDB_DB,SW-DBS-ZZZ-Z00001,BOSS系统,亿阳信通2
CMDB_DBOBJECT-4183926066,10.22.1.166数据库实例,CMDB_DBOBJECT,LG-DBS-ZZZ-Z00001,BOMC系统,
CMDB_MIDWARE-2778409913,交易中间件_ly,CMDB_MIDWARE,SW-TMW-ZZZ-Z00001,BOMC系统,东方通
CMDB_MIDWARESERVICE-3603161159,中间件服务_ly,CMDB_MIDWARESERVICE,LG-MWS-ZZZ-Z00001,SIMS系统,
CMDB_DBOBJECT-3245577604,数据库实例_ly,CMDB_DBOBJECT,LG-DBS-ZZZ-Z00021,P-BOSS系统,
CMDB_PROCESS-163211211,process_test_2,CMDB_PROCESS,LG-PRO-ZZZ-Z00041,BOSS系统,
CMDB_PROCESS-1355068617,test_cpu_process,CMDB_PROCESS,LG-PRO-ZZZ-Z00021,BOSS系统,
CMDB_BUSI_SYS-2399450757,BOMC测试,CMDB_BUSI_SYS,AP-BOM-ZZZ-Z00001,BOMC系统,
CMDB_BUSI_SYS-831949916,经分系统1,CMDB_BUSI_SYS,AP-BAY-ZZZ-Z00021,BASS系统,
CMDB_BUSI_SYS-1672441606,容灾,CMDB_BUSI_SYS,AP-DRY-ZZZ-Z00023,容灾系统,
CMDB_BUSI_SYS-1479059605,OTA1,CMDB_BUSI_SYS,AP-OTA-ZZZ-Z00024,其他系统,亚信
CMDB_PROCESS-3113815162,test_ly,CMDB_PROCESS,LG-PRO-ZZZ-Z00061,BOSS系统,
CMDB_PROCESS-2449860613,test_crm,CMDB_PROCESS,LG-PRO-ZZZ-Z00062,CRM系统,
CMDB_HOST-2222071117,测试WEB服务器,CMDB_HOST,HW-EPS-ZZZ-Z00103,BOSS系统,Fujitsu
CMDB_PROCESS-3002929041,nm-applet,CMDB_PROCESS,LG-PRO-ZZZ-Z00092,BOSS系统,
CMDB_PROCESS-2282165369,cpms,CMDB_PROCESS,LG-PRO-ZZZ-Z00081,BOMC系统,
CMDB_CVM-2877066903,liangruijia,CMDB_CVM,,,
CMDB_PROCESS-575680069,md_misc/1,CMDB_PROCESS,LG-PRO-ZZZ-Z00087,BOSS系统,
CMDB_PROCESS-2883420858,events/0,CMDB_PROCESS,LG-PRO-ZZZ-Z00088,BOSS系统,
CMDB_PROCESS-2969878146,stopper/1,CMDB_PROCESS,LG-PRO-ZZZ-Z00089,BOSS系统,
CMDB_PROCESS-3588000322,udisks-daemon,CMDB_PROCESS,LG-PRO-ZZZ-Z00090,BOSS系统,
CMDB_PROCESS-2714115220,gvfsd-trash,CMDB_PROCESS,LG-PRO-ZZZ-Z00091,BOSS系统,
CMDB_CVM-2724596455,wzh0927,CMDB_CVM,,,
CMDB_CVM-301082404,wzh0927,CMDB_CVM,,,
