id,start_id,end_id,type,subtype
CMDB_TO_CMDB-510718815,CMDB_BUSI_INS-3967516587,CMDB_REDIS_CLUSTER-2479758977,包含,RunsOn
CMDB_TO_CMDB-2730143654,CMDB_BUSI_SYS-2372543744,CMDB_MIDWARESERVICE-3603161159,关联,StorConnects
CMDB_TO_CMDB-2198879408,CMDB_KAFKA-3480282561,CMDB_MESSAGEQUEUESOFT-211927861,关联,StorConnects
CMDB_TO_CMDB-1981669673,CMDB_KAFKA-3480282561,CMDB_MESSAGEQUEUESOFT-565356984,关联,StorConnects
CMDB_TO_CMDB-4153176874,CMDB_MESSAGEQUEUESOFT-565356984,CMDB_HOST-3844673700,包含,RunsOn
CMDB_TO_CMDB-2452635168,CMDB_MESSAGEQUEUESOFT-565356984,CMDB_HOST-2094199099,包含,RunsOn
CMDB_TO_CMDB-3606567110,CMDB_BUSI_SYS-2372543744,CMDB_DBOBJECT-4183926066,关联,Depends
CMDB_TO_CMDB-3377004083,CMDB_CVM-72561826,CMDB_CVD-3757693967,关联,StorConnects
CMDB_TO_CMDB-1184561919,CMDB_PROCESS-3113815162,CMDB_ACTIVEMQ-896654814,包含,RunsOn
CMDB_TO_CMDB-3989993792,CMDB_CVM-4236534049,CMDB_CVD-1313862581,关联,StorConnects
CMDB_TO_CMDB-3407859551,CMDB_BUSI_SYS-2372543744,CMDB_PROCESS-177889598,包含,BasedOn
CMDB_TO_CMDB-2734634551,CMDB_BUSI_SYS-1672441606,CMDB_PROCESS-163211211,包含,BasedOn
CMDB_TO_CMDB-2074647670,CMDB_BUSI_INS-3592957331,CMDB_BUSI_SYS-1672441606,关联,Depends
CMDB_TO_CMDB-3677117083,CMDB_BUSI_SYS-1559357703,CMDB_PROCESS-163211211,包含,BasedOn
CMDB_TO_CMDB-3441545067,CMDB_DBOBJECT-3245577604,CMDB_DB-3595918538,包含,BasedOn
CMDB_TO_CMDB-2552900509,CMDB_CONTAINERSOFT-629385165,CMDB_HOST-1477988417,部署,Deployed
CMDB_TO_CMDB-4270090424,CMDB_CONTAINERSOFT-629385165,CMDB_HOST-2074399744,部署,Deployed
CMDB_TO_CMDB-861699546,CMDB_CASSANDRA_CLUSTER-3643408245,CMDB_HOST-818567716,部署,Deployed
CMDB_TO_CMDB-2449121508,CMDB_ACTIVEMQ_CLUSTER-1579590020,CMDB_SWITCH-1788798273,部署,Deployed
CMDB_TO_CMDB-4006605560,CMDB_HOST-1100926965,CMDB_MAGNETICTAPEARCHIVESS-2238749986,关联,StorConnects
CMDB_TO_CMDB-1176580159,CMDB_DB-1896282780,CMDB_MAGNETICTAPEARCHIVESS-1784660368,存储连接,StroConnects
CMDB_TO_CMDB-760713347,CMDB_CONTAINERINS-357206878,CMDB_ACTIVEMQ_CLUSTER-1579590020,关联,StorConnects
CMDB_TO_CMDB-760713347,CMDB_CONTAINERINS-357206878,CMDB_CASSANDRA_CLUSTER-3643408245,关联,StorConnects
CMDB_TO_CMDB-3409729388,CMDB_BUSI_INS-3967516587,CMDB_HD_YARN_CLUSTER-4286559642,包含,RunsOn
CMDB_TO_CMDB-2351456045,CMDB_BUSI_SYS-3543033493,CMDB_PROCESS-445810113,包含,BasedOn
CMDB_TO_CMDB-604866556,CMDB_CVM-2877066903,CMDB_CVD-2833737775,关联,StorConnects
CMDB_TO_CMDB-3485196954,CMDB_CVM-2724596455,CMDB_CVD-2717772895,关联,StorConnects
CMDB_TO_CMDB-214383022,CMDB_CVM-2138979429,CMDB_CVD-2095438557,关联,StorConnects
CMDB_TO_CMDB-1064040429,CMDB_CVM-301082404,CMDB_CVD-308920732,关联,StorConnects
CMDB_TO_CMDB-3250462080,CMDB_BUSI_SYS-3543033493,CMDB_DBOBJECT-4183926066,关联,Depends
CMDB_TO_CMDB-681945337,CMDB_HD_HDFS_CLUSTER-2513888776,CMDB_ROUTER-3902857694,部署,Deployed
CMDB_TO_CMDB-3824227631,CMDB_NONRELATIONALDB-243015847,CMDB_HOST-2390213738,部署,Deployed
CMDB_TO_CMDB-3969721390,CMDB_CPS-2534911208,CMDB_DISKARRAY-2186322024,存储连接,StorConnects
CMDB_TO_CMDB-3823153498,CMDB_CPS-299599484,CMDB_ROUTER-3902857694,网络连接,NetConnects
CMDB_TO_CMDB-2702562248,CMDB_CVM-4226306153,CMDB_CPS-3937290623,包含,RunsOn
CMDB_TO_CMDB-1702839629,CMDB_CVM-1479273894,CMDB_CPS-3937290623,包含,RunsOn
CMDB_TO_CMDB-2975196017,CMDB_PROCESS-163211211,CMDB_HOST-594299771,包含,RunsOn
CMDB_TO_CMDB-3271736989,CMDB_BUSI_SYS-2399450757,CMDB_PROCESS-177889598,包含,BasedOn
